,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
1,TMC,TMC the metals Co Inc.,Barron Gerard,Chief Executive Officer,"Jun 29, 2022",$1.01,25000,25250,15316809,"Jun 29, 2022, 09:56 PM",buy
2,LAZY,"Lazydays Holdings, Inc.","B. Riley Financial, Inc.",10% Owner,"Jun 27, 2022",$12.33,12990,160128,164909,"Jun 29, 2022, 09:30 PM",buy
3,LAZY,"Lazydays Holdings, Inc.","B. Riley Financial, Inc.",10% Owner,"Jun 29, 2022",$11.83,36333,429747,239909,"Jun 29, 2022, 09:30 PM",buy
4,LAZY,"Lazydays Holdings, Inc.","B. Riley Financial, Inc.",10% Owner,"Jun 28, 2022",$12.16,38667,470249,203576,"Jun 29, 2022, 09:30 PM",buy
5,MDV,MODIV INC.,NOLAN THOMAS H JR,Director,"Jun 27, 2022",$15.97,61,974,10327,"Jun 29, 2022, 09:11 PM",buy
6,MDV,MODIV INC.,SMITH KIMBERLY J,Director,"Jun 27, 2022",$15.97,5,80,866,"Jun 29, 2022, 09:11 PM",buy
7,MDV,MODIV INC.,Halfacre Aaron Scott,CEO,"Jun 27, 2022",$15.99,83,1327,21047,"Jun 29, 2022, 09:11 PM",buy
8,MDV,MODIV INC.,Halfacre Aaron Scott,CEO,"Jun 28, 2022",$17.87,42,751,21089,"Jun 29, 2022, 09:11 PM",buy
9,MDV,MODIV INC.,McWilliams Curtis B,Director,"Jun 27, 2022",$15.97,65,1038,10939,"Jun 29, 2022, 09:10 PM",buy
10,MDV,MODIV INC.,Tirondola Connie,Director,"Jun 27, 2022",$15.97,5,80,866,"Jun 29, 2022, 09:10 PM",buy
11,MDV,MODIV INC.,Ishaq Asma,Director,"Jun 27, 2022",$15.97,5,80,866,"Jun 29, 2022, 09:09 PM",buy
12,MDV,MODIV INC.,MARKMAN ADAM SCOTT,Director,"Jun 27, 2022",$15.97,63,1006,10590,"Jun 29, 2022, 09:09 PM",buy
13,MYPS,"PLAYSTUDIOS, Inc.",PASCAL ANDREW S,Chairman and CEO,"Jun 27, 2022",$4.56,13500,61601,406300,"Jun 29, 2022, 09:04 PM",buy
14,CPSS,"CONSUMER PORTFOLIO SERVICES, INC.","BLACK DIAMOND CAPITAL MANAGEMENT, L.L.C.",10% Owner,"Jun 27, 2022",$10.51,25477,267814,5068875,"Jun 29, 2022, 08:32 PM",buy
15,CPSS,"CONSUMER PORTFOLIO SERVICES, INC.","BLACK DIAMOND CAPITAL MANAGEMENT, L.L.C.",10% Owner,"Jun 29, 2022",$10.33,40062,413840,5121853,"Jun 29, 2022, 08:32 PM",buy
16,CPSS,"CONSUMER PORTFOLIO SERVICES, INC.","BLACK DIAMOND CAPITAL MANAGEMENT, L.L.C.",10% Owner,"Jun 28, 2022",$10.52,12916,135825,5081791,"Jun 29, 2022, 08:32 PM",buy
17,CXDO,"Crexendo, Inc.",MIHAYLO STEVEN G,Chief Executive Officer,"Jun 28, 2022",$3.00,10000,29952,11188256,"Jun 29, 2022, 08:29 PM",buy
18,SBIG,"SpringBig Holdings, Inc.","TCAC Sponsor, LLC",10% Owner,"Jun 14, 2022",$10.00,600000,6000000,600000,"Jun 29, 2022, 07:59 PM",buy
19,QRHC,Quest Resource Holding Corp,FRIEDBERG DANIEL M.,Director,"Jun 28, 2022",$3.96,900,3560,2796646,"Jun 29, 2022, 07:57 PM",buy
20,QRHC,Quest Resource Holding Corp,FRIEDBERG DANIEL M.,Director,"Jun 27, 2022",$3.95,956,3776,2795746,"Jun 29, 2022, 07:57 PM",buy
21,PLCE,"Childrens Place, Inc.",BACHMAN JOHN E.,Director,"Jun 29, 2022",$38.50,1500,57750,20182,"Jun 29, 2022, 07:33 PM",buy
22,SFBC,"Sound Financial Bancorp, Inc.",STILWELL JOSEPH,10% Owner,"Jun 28, 2022",$36.03,23100,832251,128467,"Jun 29, 2022, 06:23 PM",buy
23,SFBC,"Sound Financial Bancorp, Inc.",STILWELL JOSEPH,10% Owner,"Jun 27, 2022",$36.00,436,15696,18015,"Jun 29, 2022, 06:23 PM",buy
24,TELA,"TELA Bio, Inc.","EW HEALTHCARE PARTNERS FUND 2, L.P.",See footnote 2,"Jun 28, 2022",$7.10,10000,70950,3560709,"Jun 29, 2022, 06:13 PM",buy
25,TELA,"TELA Bio, Inc.","EW HEALTHCARE PARTNERS FUND 2, L.P.",See footnote 2,"Jun 27, 2022",$7.22,5000,36100,3550709,"Jun 29, 2022, 06:13 PM",buy
26,RWLK,ReWalk Robotics Ltd.,Lind Global Fund II LP,10% Owner,"Jun 29, 2022",$0.94,30000,28200,4367079,"Jun 29, 2022, 05:15 PM",buy
27,RWLK,ReWalk Robotics Ltd.,Lind Global Fund II LP,10% Owner,"Jun 28, 2022",$0.96,6315,6062,4352079,"Jun 29, 2022, 05:15 PM",buy
28,SEAC,SEACHANGE INTERNATIONAL INC,SINGER KAREN,10% Owner,"Jun 29, 2022",$0.60,98262,58505,6875616,"Jun 29, 2022, 05:04 PM",buy
29,SEAC,SEACHANGE INTERNATIONAL INC,SINGER KAREN,10% Owner,"Jun 28, 2022",$0.59,9340,5512,6777354,"Jun 29, 2022, 05:04 PM",buy
30,SEAC,SEACHANGE INTERNATIONAL INC,SINGER KAREN,10% Owner,"Jun 27, 2022",$0.60,142398,85396,6768014,"Jun 29, 2022, 05:04 PM",buy
31,RKT,"Rocket Companies, Inc.",Rizik Matthew,Director,"Jun 28, 2022",$7.60,2800,21280,226302,"Jun 29, 2022, 04:55 PM",buy
32,RKT,"Rocket Companies, Inc.",Rizik Matthew,Director,"Jun 27, 2022",$7.73,2800,21644,223502,"Jun 29, 2022, 04:55 PM",buy
33,RKT,"Rocket Companies, Inc.",Rizik Matthew,Director,"Jun 29, 2022",$7.22,2900,20938,229202,"Jun 29, 2022, 04:55 PM",buy
34,RKT,"Rocket Companies, Inc.",Farner Jay,Chief Executive Officer,"Jun 27, 2022",$7.73,25800,199434,2878107,"Jun 29, 2022, 04:55 PM",buy
35,RKT,"Rocket Companies, Inc.",Farner Jay,Chief Executive Officer,"Jun 29, 2022",$7.22,27600,199272,2931907,"Jun 29, 2022, 04:55 PM",buy
36,RKT,"Rocket Companies, Inc.",Farner Jay,Chief Executive Officer,"Jun 28, 2022",$7.60,26200,199120,2904307,"Jun 29, 2022, 04:55 PM",buy
37,APLT,Applied Therapeutics Inc.,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",10% Owner,"Jun 27, 2022",$1.00,3500000,3500000,4555077,"Jun 29, 2022, 04:37 PM",buy
38,CTBI,COMMUNITY TRUST BANCORP INC /KY/,BAIRD CHARLES J,Director,"Jun 29, 2022",$40.56,500,20279,2500,"Jun 29, 2022, 04:28 PM",buy
39,SCWX,SecureWorks Corp,Gagnon Neil,10% Owner,"Jun 27, 2022",$11.32,18274,206785,94276,"Jun 29, 2022, 04:10 PM",buy
40,SCWX,SecureWorks Corp,Gagnon Neil,10% Owner,"Jun 28, 2022",$11.07,25000,276822,359194,"Jun 29, 2022, 04:10 PM",buy
41,HQI,"HireQuest, Inc.",JACKSON EDWARD,Director,"Jun 24, 2022",$12.62,3000,37854,2595103,"Jun 29, 2022, 04:05 PM",buy
42,VINC,"Vincerx Pharma, Inc.",Izumi Raquel E.,See Remarks,"Jun 27, 2022",$1.41,40000,56312,40000,"Jun 29, 2022, 04:05 PM",buy
43,PHX,PHX MINERALS INC.,D'Amico Raphael,VP - CFO,"Jun 29, 2022",$3.02,3500,10584,366075,"Jun 29, 2022, 02:57 PM",buy
44,FBNC,FIRST BANCORP /NC/,PERRY DEXTER V,Director,"Jun 29, 2022",$34.78,973,33841,3485,"Jun 29, 2022, 02:01 PM",buy
45,CSBB,CSB BANCORP INC /OH,BAKER ROBERT K,Director,"Jun 29, 2022",$37.50,683,25613,14442,"Jun 29, 2022, 01:21 PM",buy
46,FDBC,FIDELITY D & D BANCORP INC,MCDONALD MICHAEL J,Vice Chairman,"Jun 29, 2022",$41.60,1000,41600,124721,"Jun 29, 2022, 12:24 PM",buy
47,RCG,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Jun 28, 2022",$2.29,300,687,169000,"Jun 29, 2022, 12:13 PM",buy
48,RCG,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Jun 28, 2022",$2.29,75,172,42217,"Jun 29, 2022, 12:13 PM",buy
49,RCG,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Jun 28, 2022",$2.29,2,5,3366,"Jun 29, 2022, 12:13 PM",buy
50,RCG,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Jun 28, 2022",$2.29,300,687,172408,"Jun 29, 2022, 12:13 PM",buy
51,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 28, 2022",$1632.74,1,1633,43124,"Jun 29, 2022, 12:02 PM",buy
52,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 28, 2022",$1632.74,3,4898,1738,"Jun 29, 2022, 12:02 PM",buy
53,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 28, 2022",$1632.74,2,3265,1365,"Jun 29, 2022, 12:02 PM",buy
54,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 28, 2022",$1632.74,1,1633,1526,"Jun 29, 2022, 12:02 PM",buy
55,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 28, 2022",$1632.74,2,3265,1464,"Jun 29, 2022, 12:02 PM",buy
56,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 28, 2022",$1632.74,13,21226,206522,"Jun 29, 2022, 12:02 PM",buy
57,GIM,TEMPLETON GLOBAL INCOME FUND,"Saba Capital Management, L.P.",10% Owner,"Jun 28, 2022",$4.38,600,2628,30209813,"Jun 29, 2022, 09:26 AM",buy
58,GIM,TEMPLETON GLOBAL INCOME FUND,"Saba Capital Management, L.P.",10% Owner,"Jun 27, 2022",$4.32,42642,184213,30209213,"Jun 29, 2022, 09:26 AM",buy
59,TURN,180 DEGREE CAPITAL CORP. /NY/,Wolfe Daniel B,President,"Jun 28, 2022",$6.12,1689,10337,203250,"Jun 29, 2022, 08:31 AM",buy
60,TURN,180 DEGREE CAPITAL CORP. /NY/,Bigelow Robert E III,"VP, Head of Fund Development","Jun 28, 2022",$6.10,650,3965,101960,"Jun 29, 2022, 08:23 AM",buy
61,VOXX,VOXX International Corp,Kahli Beat,Director,"Jun 28, 2022",$9.49,5000,47450,4595000,"Jun 29, 2022, 07:00 AM",buy
62,ALTG,ALTA EQUIPMENT GROUP INC.,"B. Riley Financial, Inc.",10% Owner,"Jun 24, 2022",$9.50,25851,245497,5907564,"Jun 28, 2022, 09:30 PM",buy
63,ALTG,ALTA EQUIPMENT GROUP INC.,"B. Riley Financial, Inc.",10% Owner,"Jun 28, 2022",$9.50,3227,30657,5917565,"Jun 28, 2022, 09:30 PM",buy
64,ALTG,ALTA EQUIPMENT GROUP INC.,"B. Riley Financial, Inc.",10% Owner,"Jun 27, 2022",$9.50,6774,64353,5914338,"Jun 28, 2022, 09:30 PM",buy
65,MMAT,META MATERIALS INC.,Welch Thomas Gordon,10% Owner,"Jun 24, 2022",$1.28,35000,44800,2450243,"Jun 28, 2022, 08:25 PM",buy
66,MMAT,META MATERIALS INC.,Welch Thomas Gordon,10% Owner,"Jun 24, 2022",$1.30,35000,45465,1948242,"Jun 28, 2022, 08:25 PM",buy
67,LULU,lululemon athletica inc.,Gibson Kourtney,Director,"Jun 15, 2022",$280.12,200,56024,1302,"Jun 28, 2022, 08:05 PM",buy
68,REFI,"Chicago Atlantic Real Estate Finance, Inc.",Cappell Anthony,Chief Executive Officer,"Dec 08, 2021",$16.25,500,8125,218270,"Jun 28, 2022, 07:49 PM",buy
69,SKIL,Skillsoft Corp.,Ferrera Gary W,Chief Financial Officer,"Jun 28, 2022",$3.61,30000,108270,30000,"Jun 28, 2022, 07:46 PM",buy
70,OCX,Oncocyte Corp,"PURA VIDA INVESTMENTS, LLC",10% Owner,"Apr 14, 2022",$1.25,76840,96184,8532663,"Jun 28, 2022, 07:46 PM",buy
71,OCX,Oncocyte Corp,"PURA VIDA INVESTMENTS, LLC",10% Owner,"Apr 14, 2022",$1.25,123160,154166,7473607,"Jun 28, 2022, 07:46 PM",buy
72,ARKR,ARK RESTAURANTS CORP,SATTERFIELD THOMAS A JR,10% Owner,"Jun 27, 2022",$18.21,8707,158554,84183,"Jun 28, 2022, 07:29 PM",buy
73,ARKR,ARK RESTAURANTS CORP,SATTERFIELD THOMAS A JR,10% Owner,"Jun 24, 2022",$17.67,10313,182231,75476,"Jun 28, 2022, 07:29 PM",buy
74,ARKR,ARK RESTAURANTS CORP,SATTERFIELD THOMAS A JR,10% Owner,"Jun 24, 2022",$16.32,1000,16320,1000,"Jun 28, 2022, 07:29 PM",buy
75,ARKR,ARK RESTAURANTS CORP,SATTERFIELD THOMAS A JR,10% Owner,"Jun 24, 2022",$16.73,5500,92015,37000,"Jun 28, 2022, 07:29 PM",buy
76,CRVS,"Corvus Pharmaceuticals, Inc.",MILLER RICHARD A MD,President and CEO,"Jun 27, 2022",$1.00,5000,4985,1349405,"Jun 28, 2022, 07:15 PM",buy
77,CRVS,"Corvus Pharmaceuticals, Inc.",MILLER RICHARD A MD,President and CEO,"Jun 24, 2022",$1.03,5000,5150,1344405,"Jun 28, 2022, 07:15 PM",buy
78,NAUT,"Nautilus Biotechnology, Inc.",Mowry Anna,CFO and Treasurer,"Jun 27, 2022",$2.75,5500,15124,39250,"Jun 28, 2022, 06:17 PM",buy
79,CAFLX,PIMCO California Flexible Municipal Income Fund,"Allianz Fund Investments, Inc.",10% Owner,"Jun 27, 2022",$10.00,2490000,24900000,2500000,"Jun 28, 2022, 06:08 PM",buy
80,QTNT,Quotient Ltd,Mendez Manuel O.,Chief Executive Officer,"Jun 24, 2022",$0.30,66666,20000,483333,"Jun 28, 2022, 05:51 PM",buy
81,QTNT,Quotient Ltd,Kiboro Ali,Chief Financial Officer,"Jun 24, 2022",$0.30,66666,20000,66666,"Jun 28, 2022, 05:40 PM",buy
82,EP,EMPIRE PETROLEUM CORP,Matschke Mason H.,Director,"Jun 24, 2022",$12.35,1273,15725,377646,"Jun 28, 2022, 05:19 PM",buy
83,OCFC,OCEANFIRST FINANCIAL CORP,Barrett Patrick Sean,Executive Vice President & CFO,"Jun 24, 2022",$18.91,10500,198555,20508,"Jun 28, 2022, 04:58 PM",buy
84,USAU,U.S. GOLD CORP.,NORMAN LUKE ANTHONY,Director,"Jun 24, 2022",$4.17,8482,35403,293165,"Jun 28, 2022, 04:46 PM",buy
85,BKYI,BIO KEY INTERNATIONAL INC,Sullivan James David,Chief Legal Officer,"Jun 14, 2022",$1.69,3416,5764,63000,"Jun 28, 2022, 04:44 PM",buy
86,BKYI,BIO KEY INTERNATIONAL INC,Sullivan James David,Chief Legal Officer,"Jun 13, 2022",$1.70,84,143,59584,"Jun 28, 2022, 04:44 PM",buy
87,NASD,SINGING MACHINE CO INC,"BitNile Holdings, Inc.",10% Owner,"Jun 24, 2022",$7.74,2000,15475,1544000,"Jun 28, 2022, 04:30 PM",buy
88,BTTX,"Better Therapeutics, Inc.",Heinen Mark,See Remarks,"Jun 24, 2022",$1.75,2281,4001,2281,"Jun 28, 2022, 04:24 PM",buy
89,PFSW,PFSWEB INC,Samaha Eli,10% Owner,"Jun 24, 2022",$11.72,23448,274811,2633189,"Jun 28, 2022, 04:15 PM",buy
90,CHK,CHESAPEAKE ENERGY CORP,Wichterich Michael,Executive Chairman,"Jun 27, 2022",$85.65,2000,171300,25318,"Jun 28, 2022, 04:11 PM",buy
91,CHK,CHESAPEAKE ENERGY CORP,Wichterich Michael,Executive Chairman,"Jun 24, 2022",$81.50,3000,244500,23318,"Jun 28, 2022, 04:11 PM",buy
92,KFS,KINGSWAY FINANCIAL SERVICES INC,OAKMONT CAPITAL INC,10% Owner,"Jun 27, 2022",$5.40,3858,20826,2522708,"Jun 28, 2022, 04:08 PM",buy
93,KFS,KINGSWAY FINANCIAL SERVICES INC,OAKMONT CAPITAL INC,10% Owner,"Jun 24, 2022",$5.35,6454,34536,2518850,"Jun 28, 2022, 04:08 PM",buy
94,KFS,KINGSWAY FINANCIAL SERVICES INC,Kavanagh Terence Michael,Director,"Jun 27, 2022",$5.40,3858,20826,2557458,"Jun 28, 2022, 04:07 PM",buy
95,KFS,KINGSWAY FINANCIAL SERVICES INC,Kavanagh Terence Michael,Director,"Jun 24, 2022",$5.35,6454,34536,2553600,"Jun 28, 2022, 04:07 PM",buy
96,KFS,KINGSWAY FINANCIAL SERVICES INC,Hannon Gregory Paul,Director,"Jun 27, 2022",$5.40,3858,20826,2570458,"Jun 28, 2022, 04:06 PM",buy
97,KFS,KINGSWAY FINANCIAL SERVICES INC,Hannon Gregory Paul,Director,"Jun 24, 2022",$5.35,6454,34536,2566600,"Jun 28, 2022, 04:06 PM",buy
98,NVNO,enVVeno Medical Corp,BERMAN ROBERT ANDREW,Chief Executive Officer,"Jun 27, 2022",$3.80,2500,9500,210236,"Jun 28, 2022, 04:05 PM",buy
99,BATRA,Liberty Media Corp,"GAMCO INVESTORS, INC. ET AL",10% Owner,"Jun 27, 2022",$25.00,2000,50000,12000,"Jun 28, 2022, 04:00 PM",buy
100,CCHW,Columbia Care Inc.,GOLDBERG PHILIP,Director,"Jun 27, 2022",$1.36,23500,31960,7784127,"Jun 28, 2022, 04:00 PM",buy
1,GOVX,"GeoVax Labs, Inc.",McKee Kelly T. Jr.,Chief Medical Officer,"Jun 27, 2022",$1.12,4464,5000,19185,"Jun 28, 2022, 02:59 PM",buy
2,CSBB,CSB BANCORP INC /OH,Briggs Vikki G,Director,"Jun 27, 2022",$38.67,445,17210,9607,"Jun 28, 2022, 02:47 PM",buy
3,MEGI,MainStay CBRE Global Infrastructure Megatrends Fund,Anagnos Jeremy,Portfolio Manager,"Jun 27, 2022",$15.47,502,7766,17080,"Jun 28, 2022, 02:19 PM",buy
4,OESX,"ORION ENERGY SYSTEMS, INC.",Otten Anthony L.,Director,"Jun 27, 2022",$2.10,2000,4197,145534,"Jun 28, 2022, 02:16 PM",buy
5,FXNC,FIRST NATIONAL CORP /VA/,Patel Kirtesh,Director,"Jun 27, 2022",$17.99,5250,94462,18061,"Jun 28, 2022, 01:41 PM",buy
6,CAMP,CalAmp Corp.,GARDNER JEFFERY R,President & CEO,"Jun 28, 2022",$4.83,20000,96600,313683,"Jun 28, 2022, 11:57 AM",buy
7,QNBC,QNB CORP,Bimes Randy S.,Director,"Jun 24, 2022",$28.70,348,9988,110681,"Jun 28, 2022, 11:56 AM",buy
8,RCG,"RENN Fund, Inc.",STAHL MURRAY,President & CEO,"Jun 27, 2022",$2.29,2,5,3364,"Jun 28, 2022, 11:36 AM",buy
9,RCG,"RENN Fund, Inc.",STAHL MURRAY,President & CEO,"Jun 27, 2022",$2.29,75,172,42142,"Jun 28, 2022, 11:36 AM",buy
10,RCG,"RENN Fund, Inc.",STAHL MURRAY,President & CEO,"Jun 27, 2022",$2.29,300,687,172108,"Jun 28, 2022, 11:36 AM",buy
11,RCG,"RENN Fund, Inc.",STAHL MURRAY,President & CEO,"Jun 27, 2022",$2.29,300,687,168700,"Jun 28, 2022, 11:36 AM",buy
12,QNBC,QNB CORP,Mann Jennifer L,Director,"Jun 24, 2022",$28.70,209,5998,4512,"Jun 28, 2022, 11:36 AM",buy
13,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 27, 2022",$1538.64,1,1539,43123,"Jun 28, 2022, 11:21 AM",buy
14,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 27, 2022",$1538.64,3,4616,1735,"Jun 28, 2022, 11:21 AM",buy
15,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 27, 2022",$1538.64,2,3077,1363,"Jun 28, 2022, 11:21 AM",buy
16,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 27, 2022",$1538.64,1,1539,1525,"Jun 28, 2022, 11:21 AM",buy
17,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 27, 2022",$1538.64,2,3077,1462,"Jun 28, 2022, 11:21 AM",buy
18,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 27, 2022",$1538.64,13,20002,206509,"Jun 28, 2022, 11:21 AM",buy
19,BRID,BRIDGFORD FOODS CORP,Silva Juan Luis,V.P. Plant Superintendent,"Jun 14, 2022",$12.89,57,735,57,"Jun 28, 2022, 10:28 AM",buy
20,BWFG,"Bankwell Financial Group, Inc.",Ivanov Penko Krassimir,EVP & Chief Financial Officer,"Jun 24, 2022",$30.75,200,6150,1679,"Jun 28, 2022, 09:15 AM",buy
21,BWFG,"Bankwell Financial Group, Inc.",Garnett James M Jr,Director,"Jun 24, 2022",$30.50,10000,305000,18708,"Jun 28, 2022, 09:15 AM",buy
22,TURN,180 DEGREE CAPITAL CORP. /NY/,Gift Alicia M,"Treasurer, Secretary","Jun 27, 2022",$6.09,756,4604,34500,"Jun 28, 2022, 08:59 AM",buy
23,CHK,CHESAPEAKE ENERGY CORP,DELL'OSSO DOMENIC J JR,President and CEO,"Jun 24, 2022",$82.04,3000,246126,35891,"Jun 28, 2022, 07:09 AM",buy
24,VOXX,VOXX International Corp,Kahli Beat,Director,"Jun 27, 2022",$9.23,5000,46150,4590000,"Jun 28, 2022, 07:00 AM",buy
25,IVC,INVACARE CORP,Rosen Steven H,10% Owner,"Jun 27, 2022",$1.51,50000,75500,3946558,"Jun 27, 2022, 09:51 PM",buy
